City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Nouadhibou,MR,20.931,-17.0347,84.18,61,18,13.8,few clouds
192,Dikson,RU,73.5069,80.5464,40.93,79,100,10.58,overcast clouds
193,Lorengau,PG,-2.0226,147.2712,81.45,70,12,10.54,few clouds
194,Ilulissat,GL,69.2167,-51.1,46.04,80,100,7.49,overcast clouds
195,Aginskoye,RU,51.1,114.53,45.21,96,100,9.71,heavy intensity rain
196,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.14,12,3,7.76,clear sky
197,Altoona,US,40.5187,-78.3947,86.83,67,100,1.32,overcast clouds
198,Nago,JP,26.5881,127.9761,79.23,89,100,28.97,moderate rain
199,Chilliwack,CA,49.1747,-121.9443,71.78,71,100,3.44,overcast clouds
200,Bata,GQ,1.8639,9.7658,76.42,86,14,9.95,few clouds
201,Yeppoon,AU,-23.1333,150.7333,56.98,83,27,13.44,scattered clouds
202,Hirara,JP,24.8,125.2833,82.27,89,100,39.71,moderate rain
203,Bud,US,39.447,-86.1758,83.05,76,95,5.64,overcast clouds
204,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,74,2,7.78,clear sky
205,Beringovskiy,RU,63.05,179.3167,50.85,90,100,8.23,overcast clouds
206,Kodiak,US,57.79,-152.4072,52.68,84,99,1.43,overcast clouds
207,Payakumbuh,ID,-0.2202,100.6308,70.16,89,100,3.02,overcast clouds
208,Bafq,IR,31.6128,55.4107,81.45,10,0,0.94,clear sky
209,Seddon,AU,-37.8068,144.8916,48.38,85,75,0.0,broken clouds
210,Port Macquarie,AU,-31.4333,152.9167,47.89,77,99,11.1,overcast clouds
211,Hofn,IS,64.2539,-15.2082,49.87,80,0,9.73,clear sky
212,Knysna,ZA,-34.0363,23.0471,56.75,81,88,9.31,overcast clouds
213,Portland,US,45.5234,-122.6762,83.61,51,6,5.01,clear sky
214,Chuy,UY,-33.6971,-53.4616,60.93,59,0,2.53,clear sky
215,Guilin,CN,25.2819,110.2864,68.11,65,68,3.62,broken clouds
216,Acapulco,MX,16.8634,-99.8901,78.78,89,100,18.3,overcast clouds
217,Codrington,AU,-38.2667,141.9667,47.48,81,61,10.36,broken clouds
218,Koumac,NC,-20.5667,164.2833,72.55,95,100,11.01,overcast clouds
219,Salinas,US,36.6777,-121.6555,106.02,22,0,6.64,clear sky
220,Esil,KZ,51.9556,66.4042,61.56,32,92,7.16,overcast clouds
