City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Dzilam Gonzalez,MX,85.62,broken clouds,21.2833,-88.9333,posadas
587,Shenjiamen,CN,79.52,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
591,Kinablangan,PH,78.39,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
593,Sabzevar,IR,75.63,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
598,Houma,US,79.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
600,Namatanai,PG,78.44,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
605,Constantine,DZ,87.21,scattered clouds,36.365,6.6147,Grand Hotel Cirta
608,Vieques,PR,84.22,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
610,Mapastepec,MX,82.17,overcast clouds,15.4333,-92.9,Hotel San Carlos
611,North Platte,US,89.11,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
613,Atyrau,KZ,77.02,clear sky,47.1167,51.8833,River Palace Hotel
625,Sanary-Sur-Mer,FR,77.52,overcast clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
628,Bac Lieu,VN,79.66,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
629,Tambopata,PE,84.09,clear sky,-12.7333,-69.1833,Enashawa Lodge
631,Tanabe,JP,75.4,overcast clouds,33.7333,135.3667,美吉屋旅館
634,Malanje,AO,77.7,broken clouds,-9.5402,16.341,Hotel Ginga
643,Indiana,US,82.94,broken clouds,40.0003,-86.2503,WonderTree
649,Macklin,CA,88.14,few clouds,52.3334,-109.9348,Macklin Motor Inn
656,Methoni,GR,81.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
664,Palm Coast,US,89.69,clear sky,29.585,-81.2078,Hammock Beach Golf Resort & Spa
666,Ruidoso,US,78.96,clear sky,33.3317,-105.673,Inn of the Mountain Gods
667,Magoula,GR,80.65,few clouds,38.0833,23.5167,Elefsina Hotel
668,Aracati,BR,82.09,scattered clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
670,Kerema,PG,76.57,light rain,-7.9631,145.7785,Frena Lodge
674,Pemangkat,ID,76.14,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
676,Awjilah,LY,81.97,clear sky,29.1081,21.2869,المنزل
678,Himeji,JP,81.28,overcast clouds,34.8167,134.7,Hotel Nikko Himeji
680,Tutoia,BR,81.16,clear sky,-2.7619,-42.2744,Pousada Guará's
683,Sunland Park,US,88.25,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
686,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
693,Shiraz,IR,80.04,clear sky,29.6036,52.5388,Shams Hotel
695,Misratah,LY,83.91,clear sky,32.3754,15.0925,Almasa Hotel
700,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
